step,strain,stress_raw_gpa,pe_eV,ly_A,pyy_bar
0,0,0,-395778.1216,182.5261777,44480.33461
1,0.002255639,0.708842756,-395842.4522,182.9378909,37391.90705
2,0.004511278,1.407585707,-395895.722,183.349604,30404.47754
3,0.006766917,2.096615136,-395938.0834,183.7613172,23514.18325
4,0.009022556,2.776382453,-395969.6861,184.1730304,16716.51008
5,0.011278195,3.44650717,-395990.6776,184.5847436,10015.26291
6,0.013533835,4.107578599,-396001.2118,184.9964568,3404.548617
7,0.015789474,4.759019932,-396001.4314,185.40817,-3109.864707
8,0.018045113,5.401257742,-395991.4839,185.8198831,-9532.242807
9,0.020300752,6.034461712,-395971.5143,186.2315963,-15864.28251
10,0.022556391,6.658188919,-395941.6648,186.6433095,-22101.55458
11,0.02481203,7.273494787,-395902.0793,187.0550227,-28254.61326
12,0.027067669,7.879218327,-395852.8994,187.4667359,-34311.84866
13,0.029323308,8.477898595,-395794.264,187.8784491,-40298.65134
14,0.031578947,9.149101649,-395725.9565,188.2901622,-47010.68188
15,0.033834586,10.03106654,-395645.6867,188.7018754,-55830.33075
16,0.036090226,10.94729144,-395550.7903,189.1135886,-64992.57979
17,0.038345865,11.83500134,-395441.7261,189.5253018,-73869.67878
18,0.040601504,12.71303647,-395318.7354,189.937015,-82650.03006
19,0.042857143,13.57500633,-395182.0611,190.3487282,-91269.72865
20,0.045112782,14.42276226,-395031.9369,190.7604413,-99747.28803
21,0.047368421,15.25607057,-394868.5933,191.1721545,-108080.3711
22,0.04962406,16.0750801,-394692.2631,191.5838677,-116270.4664
23,0.051879699,16.87913281,-394503.1689,191.9955809,-124310.9935
24,0.054135338,17.67375329,-394301.5315,192.4072941,-132257.1983
25,0.056390977,18.45122741,-394087.5697,192.8190072,-140031.9395
26,0.058646617,19.22035174,-393861.4724,193.2307204,-147723.1827
27,0.060902256,19.97893795,-393623.3568,193.6424336,-155309.0449
28,0.063157895,20.72429999,-393373.4213,194.0541468,-162762.6653
29,0.065413534,21.4559348,-393111.8693,194.46586,-170079.0134
30,0.067669173,22.17477903,-392838.8996,194.8775732,-177267.4557
31,0.069924812,22.88222512,-392554.7097,195.2892863,-184341.9166
32,0.072180451,23.57790432,-392259.4958,195.7009995,-191298.7086
33,0.07443609,24.26178503,-391953.4456,196.1127127,-198137.5157
34,0.076691729,24.93684652,-391636.7526,196.5244259,-204888.1306
35,0.078947368,25.59834039,-391309.6111,196.9361391,-211503.0693
36,0.081203008,26.24072545,-390972.2114,197.3478523,-217926.9199
37,0.083458647,26.87523716,-390624.754,197.7595654,-224272.0369
38,0.085714286,26.78634362,-390378.0213,198.1712786,-223383.1016
39,0.087969925,27.37966137,-390024.2442,198.5829918,-229316.2791
40,0.090225564,27.95838238,-389659.3756,198.994705,-235103.4892
41,0.092481203,28.44151048,-389299.1499,199.4064182,-239934.7702
42,0.094736842,29.0453461,-388917.3749,199.8181314,-245973.1264
43,0.096992481,29.63573244,-388526.2008,200.2298445,-251876.9897
44,0.09924812,30.23522398,-388125.7679,200.6415577,-257871.9052
45,0.101503759,30.80280395,-387716.2829,201.0532709,-263547.7048
46,0.103759399,31.35505099,-387297.9007,201.4649841,-269070.1753
47,0.106015038,31.89376408,-386870.7935,201.8766973,-274457.3062
48,0.108270677,31.44733583,-386643.6105,202.2884105,-269993.0237
49,0.110526316,32.00366264,-386214.8556,202.7001236,-275556.2918
50,0.112781955,31.53590824,-385987.3028,203.1118368,-270878.7478
51,0.115037594,32.09016536,-385557.2056,203.52355,-276421.319
52,0.117293233,31.61766621,-385330.5779,203.9352632,-271696.3275
53,0.119548872,32.18326995,-384899.1354,204.3469764,-277352.3649
54,0.121804511,31.68253004,-384673.5829,204.7586896,-272344.9658
55,0.12406015,32.27624386,-384240.7643,205.1704027,-278282.104
56,0.126315789,31.79070674,-384016.3967,205.5821159,-273426.7328
57,0.128571429,32.37740647,-383582.0737,205.9938291,-279293.7301
58,0.130827068,31.88889572,-383358.9345,206.4055423,-274408.6226
59,0.133082707,32.55389198,-382922.3229,206.8172555,-281058.5852
60,0.135338346,31.9900034,-382701.2026,207.2289686,-275419.6994
61,0.137593985,31.48878118,-382472.9873,207.6406818,-270407.4772
62,0.139849624,32.09360942,-382043.1958,208.052395,-276455.7596
63,0.142105263,31.58679888,-381816.275,208.4641082,-271387.6542
